"minid","mineral","locality","locid","cid","excitation","activators","dataname"
101,"Chalcedony","Tonopah, Arizona, USA",31929,2,"365nm LED","UO<sub>2</sub><sup>2+</sup>","101-chalcedony-365led"
115,"Powellite","Jardinera No. 1 Mine, Inca de Oro mining district, Chile",7430,3,"275nm LED","MoO<sub>4</sub><sup>2-</sup>","115-powellite-275led"
121,"Scapolite","Canada",8188,3,"365nm LED","S<sub>2</sub><sup>2-</sup>","121-scapolite-365led"
121,"Scapolite","Canada",8188,3,"405nm Laser","S<sub>2</sub><sup>2-</sup>","121-scapolite-405laser"
162,"Tremolite","Talcville, New York, USA",20244,2,"405nm Laser","Mn<sup>2+</sup>","162-tremolite-405laser"
163,"Tremolite var Hexagonite","Talcville, New York, USA",20244,2,"405nm Laser","Mn<sup>2+</sup>","163-hexagonite-405laser"
164,"Corundum/Ruby","Unknown",,3,"365nm LED","Cr<sup>3+</sup>","164-ruby-365led"
164,"Corundum/Ruby","Unknown",,3,"405nm Laser","Cr<sup>3+</sup>","164-ruby-405laser"
164,"Corundum/Ruby","Unknown",,3,"532nm Laser","Cr<sup>3+</sup>","164-ruby-532laser"
164,"Corundum/Ruby","Unknown",,3,"664nm Laser","Cr<sup>3+</sup>","164-ruby-664laser"
176,"Bayleyite","Hideout Mine, Utah, USA",35984,1,"254nm Hg","UO<sub>2</sub><sup>2+</sup>","176-bayleyite-254hg"
176,"Bayleyite","Hideout Mine, Utah, USA",35984,1,"365nm LED","UO<sub>2</sub><sup>2+</sup>","176-bayleyite-365led"
176,"Bayleyite","Hideout Mine, Utah, USA",35984,1,"405nm Laser","UO<sub>2</sub><sup>2+</sup>","176-bayleyite-405laser"
195,"Autunite","Streuberg Quarry, Saxony, Germany",1907,2,"365nm LED","UO<sub>2</sub><sup>2+</sup>","195-autunite-365led"
195,"Autunite","Streuberg Quarry, Saxony, Germany",1907,2,"405nm Laser","UO<sub>2</sub><sup>2+</sup>","195-autunite-405laser"
231,"Calcite","Citrus Co., Florida, USA",24928,3,"275nm LED","Organic?","231-calcite-275led"
232,"Calcite","Citrus Co., Florida, USA",24928,3,"275nm LED","Organic?","232-calcite-275led"
233,"Calcite","Kern Co., California, USA",3481,3,"275nm LED","Organic?","233-calcite-275led"
235,"Caliche","Utah, USA",14378,3,"365nm LED","??","235-caliche-365led"
235,"Sandstone","Utah, USA",14378,3,"275nm LED","??","235-sandstone-275led"
235,"Sandstone","Utah, USA",14378,3,"365nm LED","??","235-sandstone-365led"
238,"Fluorite","Unknown",,3,"365nm LED","Eu<sup>2+</sup>","238-fluorite-365led"
